date,category,turnover_millions
2017-09-01,Household goods retailing,4456.0
2017-10-01,Household goods retailing,4452.5
2017-11-01,Household goods retailing,4598.4
2017-12-01,Household goods retailing,4583.2
2018-01-01,Household goods retailing,4580.6
2018-02-01,Household goods retailing,4588.2
2018-03-01,Household goods retailing,4568.2
2018-04-01,Household goods retailing,4611.7
2018-05-01,Household goods retailing,4596.7
2018-06-01,Household goods retailing,4604.8
2018-07-01,Household goods retailing,4562.0
2018-08-01,Household goods retailing,4587.5
2018-09-01,Household goods retailing,4597.0
2018-10-01,Household goods retailing,4644.3
2018-11-01,Household goods retailing,4587.1
2018-12-01,Household goods retailing,4573.4
2019-01-01,Household goods retailing,4589.7
2019-02-01,Household goods retailing,4578.4
2019-03-01,Household goods retailing,4565.2
2019-04-01,Household goods retailing,4517.6
2019-05-01,Household goods retailing,4564.1
2019-06-01,Household goods retailing,4581.7
2019-07-01,Household goods retailing,4607.0
2019-08-01,Household goods retailing,4617.2
2019-09-01,Household goods retailing,4625.5
2019-10-01,Household goods retailing,4646.7
2019-11-01,Household goods retailing,4650.3
2019-12-01,Household goods retailing,4680.9
2020-01-01,Household goods retailing,4653.5
2020-02-01,Household goods retailing,4640.2
2020-03-01,Household goods retailing,5003.7
2020-04-01,Household goods retailing,5057.5
2020-05-01,Household goods retailing,5863.5
2020-06-01,Household goods retailing,5676.3
2020-07-01,Household goods retailing,6002.1
2020-08-01,Household goods retailing,5589.3
2020-09-01,Household goods retailing,5366.4
2020-10-01,Household goods retailing,5376.9
2020-11-01,Household goods retailing,5912.4
2020-12-01,Household goods retailing,5546.1
2021-01-01,Household goods retailing,5577.3
2021-02-01,Household goods retailing,5541.1
2021-03-01,Household goods retailing,5515.5
2021-04-01,Household goods retailing,5623.7
2021-05-01,Household goods retailing,5537.5
2021-06-01,Household goods retailing,5492.4
2021-07-01,Household goods retailing,5417.2
2021-08-01,Household goods retailing,5257.2
2021-09-01,Household goods retailing,5472.6
2021-10-01,Household goods retailing,5725.6
2021-11-01,Household goods retailing,6264.4
2021-12-01,Household goods retailing,5844.2
2022-01-01,Household goods retailing,5917.1
2022-02-01,Household goods retailing,5991.5
2022-03-01,Household goods retailing,6167.1
2022-04-01,Household goods retailing,6064.4
2022-05-01,Household goods retailing,6034.5
2022-06-01,Household goods retailing,5998.2
2022-07-01,Household goods retailing,6013.1
2022-08-01,Household goods retailing,6117.9
2022-09-01,Household goods retailing,6062.5
2022-10-01,Household goods retailing,6025.5
2022-11-01,Household goods retailing,5921.7
2022-12-01,Household goods retailing,5928.5
2023-01-01,Household goods retailing,5872.6
2023-02-01,Household goods retailing,5864.8
2023-03-01,Household goods retailing,5837.5
2023-04-01,Household goods retailing,5791.0
2023-05-01,Household goods retailing,5766.5
2023-06-01,Household goods retailing,5735.1
2023-07-01,Household goods retailing,5733.7
2023-08-01,Household goods retailing,5732.8
2023-09-01,Household goods retailing,5830.9
2023-10-01,Household goods retailing,5746.3
2023-11-01,Household goods retailing,5919.7
2023-12-01,Household goods retailing,5744.5
2024-01-01,Household goods retailing,5757.8
2024-02-01,Household goods retailing,5731.5
2024-03-01,Household goods retailing,5677.1
2024-04-01,Household goods retailing,5722.7
2024-05-01,Household goods retailing,5799.8
2024-06-01,Household goods retailing,5803.4
2024-07-01,Household goods retailing,5815.7
2024-08-01,Household goods retailing,5797.2
2024-09-01,Household goods retailing,5849.3
2024-10-01,Household goods retailing,5941.9
2024-11-01,Household goods retailing,5981.1
2024-12-01,Household goods retailing,6160.3
2025-01-01,Household goods retailing,5910.6
2025-02-01,Household goods retailing,5894.9
2025-03-01,Household goods retailing,5902.2
2025-04-01,Household goods retailing,5953.7
2025-05-01,Household goods retailing,5990.7
2025-06-01,Household goods retailing,6129.0
1982-04-01,"Clothing, footwear and personal accessory retailing",360.6
1982-05-01,"Clothing, footwear and personal accessory retailing",362.5
1982-06-01,"Clothing, footwear and personal accessory retailing",365.1
1982-07-01,"Clothing, footwear and personal accessory retailing",361.9
1982-08-01,"Clothing, footwear and personal accessory retailing",359.2
1982-09-01,"Clothing, footwear and personal accessory retailing",363.8
1982-10-01,"Clothing, footwear and personal accessory retailing",359.0
1982-11-01,"Clothing, footwear and personal accessory retailing",375.0
1982-12-01,"Clothing, footwear and personal accessory retailing",375.8
1983-01-01,"Clothing, footwear and personal accessory retailing",386.2
1983-02-01,"Clothing, footwear and personal accessory retailing",379.1
1983-03-01,"Clothing, footwear and personal accessory retailing",395.2
1983-04-01,"Clothing, footwear and personal accessory retailing",423.9
1983-05-01,"Clothing, footwear and personal accessory retailing",390.3
1983-06-01,"Clothing, footwear and personal accessory retailing",396.2
1983-07-01,"Clothing, footwear and personal accessory retailing",402.0
1983-08-01,"Clothing, footwear and personal accessory retailing",406.3
1983-09-01,"Clothing, footwear and personal accessory retailing",418.2
1983-10-01,"Clothing, footwear and personal accessory retailing",406.2
1983-11-01,"Clothing, footwear and personal accessory retailing",399.1
1983-12-01,"Clothing, footwear and personal accessory retailing",413.5
1984-01-01,"Clothing, footwear and personal accessory retailing",421.1
1984-02-01,"Clothing, footwear and personal accessory retailing",421.4
1984-03-01,"Clothing, footwear and personal accessory retailing",444.0
1984-04-01,"Clothing, footwear and personal accessory retailing",430.9
1984-05-01,"Clothing, footwear and personal accessory retailing",431.6
1984-06-01,"Clothing, footwear and personal accessory retailing",419.1
1984-07-01,"Clothing, footwear and personal accessory retailing",434.4
1984-08-01,"Clothing, footwear and personal accessory retailing",434.1
1984-09-01,"Clothing, footwear and personal accessory retailing",429.0
1984-10-01,"Clothing, footwear and personal accessory retailing",440.0
